,Полученное,Исходное
95,9.014432907104492,8.19
96,-2.8657939434051514,-2.41
97,-5.046309471130371,-3.4000000000000004
98,10.674803733825684,9.68
99,-10.162534713745117,-4.47
100,3.813366651535034,3.67
101,3.1958982944488525,3.18
102,-0.42378243803977966,-0.3399999999999999
103,3.9971487522125244,3.93
104,9.337778091430664,8.530000000000001
105,-3.3488614559173584,-2.77
106,-0.5921236276626587,-0.61
107,-1.5780678987503052,-1.98
108,3.5011003017425537,3.43
109,1.9014050960540771,1.81
110,3.9811432361602783,3.87
111,0.33597326278686523,0.35
112,-9.30422306060791,-4.48
113,-0.4061823785305023,-1.02
114,2.343607187271118,2.26
115,4.191159248352051,4.11
116,-0.22557643055915833,-1.16
117,7.340098857879639,6.96
118,0.9485548734664917,0.92
119,4.711811065673828,4.38
120,-3.397385835647583,-2.85
121,-0.3288872539997101,-1.0
122,4.542898178100586,4.39
123,1.0208414793014526,1.02
124,7.377967357635498,7.16
125,-1.2331126928329468,-1.7
126,7.854791641235352,7.58
127,9.293673515319824,8.49
128,1.0542563199996948,1.04
129,7.422091960906982,7.17
130,-1.5762810707092285,-1.95
131,-0.28134194016456604,-1.0699999999999998
132,-2.979133367538452,-2.59
133,5.140262603759766,4.93
134,5.346116065979004,5.14
135,0.5924187898635864,0.54
136,-1.2673615217208862,-1.7
137,4.074066638946533,3.97
138,0.8918867111206055,0.89
139,10.904001235961914,9.85
140,-0.46370092034339905,-0.97
141,3.2792856693267822,3.27
142,7.228971004486084,6.73
143,3.0667457580566406,2.99
144,9.148673057556152,8.26
145,10.272520065307617,9.51
146,3.1279513835906982,3.04
147,5.602116107940674,5.22
148,2.7974417209625244,2.68
149,-10.953391075134277,-4.840000000000001
150,1.8214901685714722,1.74
151,6.583541393280029,6.180000000000001
152,-3.1624815464019775,-2.74
153,-0.530737042427063,-0.3
154,3.3726894855499268,3.28
155,3.092907667160034,3.05
156,3.497633457183838,3.36
157,1.844927430152893,1.8
158,-0.751142144203186,-1.6
159,7.3749213218688965,7.08
160,0.8203024864196777,0.81
161,0.7842996120452881,0.75
162,0.08420011401176453,-0.03
163,-3.787935972213745,-3.01
164,9.638279914855957,8.860000000000001
165,1.476122498512268,1.44
166,0.27337098121643066,0.31
167,-0.2083853781223297,-1.28
168,-0.7458724975585938,-1.58
169,-1.0235872268676758,-1.82
170,4.062892913818359,3.96
171,2.1708528995513916,2.1
172,-0.2754571735858917,-0.2799999999999999
173,-10.316168785095215,-4.54
174,3.2279317378997803,3.15
175,-2.2931950092315674,-2.3
176,0.3524237275123596,0.29
177,-0.18389400839805603,-1.29
178,-2.7741477489471436,-2.49
179,-3.9547512531280518,-3.0
180,6.380200386047363,6.05
181,0.24719521403312683,0.21
182,4.596661567687988,4.27
183,-0.18988081812858582,-1.3299999999999998
184,9.33336353302002,8.510000000000002
185,10.326440811157227,9.57
186,3.5128896236419678,3.38
187,9.405217170715332,8.809999999999999
188,-10.776476860046387,-4.53
189,-9.896547317504883,-4.53
190,-5.069492816925049,-3.68
191,-0.5805655717849731,-1.67
192,7.497862339019775,7.14
193,9.268688201904297,8.4
194,2.200343608856201,2.17
195,-7.543393135070801,-3.97
196,0.4934699535369873,0.45
197,9.204163551330566,8.35
198,-0.502255916595459,-0.62
199,9.075569152832031,8.21
